Proteins	Description	Gene	Contam	Decoy	exp_WT_1	exp_WT_2	exp_WT_3	exp_GFP_1	exp_GFP_2	exp_GFP_3
13257	>sp|P62136|PP1A_HUMAN Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens GN=PPP1CA PE=1 SV=1	PPP1CA	0	0	6	7	5	0	1	3
15024	>sp|P63173|RL38_HUMAN 60S ribosomal protein L38 OS=Homo sapiens GN=RPL38 PE=1 SV=2	RPL38	0	0	9	6	10	9	10	7
14909	>sp|P62910|RL32_HUMAN 60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=1 SV=2	RPL32	0	0	6	7	4	4	5	5
4214	>sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens GN=HIST1H1C PE=1 SV=2	HIST1H1C	0	0	7	8	7	9	10	9
15292	>sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2	RPS2	0	0	7	6	7	8	10	7
1779	>sp|O75052|CAPON_HUMAN Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein OS=Homo sapiens GN=NOS1AP PE=1 SV=3	NOS1AP	0	0	6	8	7	0	0	0
14759	>sp|P27635|RL10_HUMAN 60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=4	RPL10	0	0	6	6	9	6	5	5
12403	>sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens GN=NOP56 PE=1 SV=4	NOP56	0	0	5	5	3	9	8	8
14042	>sp|Q9UQE7|SMC3_HUMAN Structural maintenance of chromosomes protein 3 OS=Homo sapiens GN=SMC3 PE=1 SV=2	SMC3	0	0	6	5	2	9	4	4
14161	>sp|Q9H9B4|SFXN1_HUMAN Sideroflexin-1 OS=Homo sapiens GN=SFXN1 PE=1 SV=4	SFXN1	0	0	7	7	8	16	15	14
70903	>P00761 SWISS-PROT:P00761|TRYP_PIG Trypsin - Sus scrofa (Pig).	Unknown	1	0	12	11	14	16	17	12
71002	>P12763 SWISS-PROT:P12763 (Bos taurus) Alpha-2-HS-glycoprotein precursor	Unknown	1	0	6	5	4	3	4	5
758	>sp|Q9ULX6|AKP8L_HUMAN A-kinase anchor protein 8-like OS=Homo sapiens GN=AKAP8L PE=1 SV=3	AKAP8L	0	0	7	7	5	9	5	6
7469	>sp|P52597|HNRPF_HUMAN Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens GN=HNRNPF PE=1 SV=3	HNRNPF	0	0	5	6	5	8	6	8
6643	>sp|Q7L8L6|FAKD5_HUMAN FAST kinase domain-containing protein 5, mitochondrial OS=Homo sapiens GN=FASTKD5 PE=1 SV=1	FASTKD5	0	0	6	4	3	4	2	4
15568	>sp|P62241|RS8_HUMAN 40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2	RPS8	0	0	8	6	4	9	7	8
71037	>P02662 SWISS-PROT:P02662 Alpha-S1-casein - Bos taurus (Bovine).	Unknown	1	0	9	7	8	2	3	1
6830	>sp|Q96CS3|FAF2_HUMAN FAS-associated factor 2 OS=Homo sapiens GN=FAF2 PE=1 SV=2	FAF2	0	0	5	4	3	8	6	7
14193	>sp|Q14683|SMC1A_HUMAN Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=1 SV=2	SMC1A	0	0	8	11	8	8	8	8
71016	>Q3SX09 TREMBL:Q3SX09 (Bos taurus) similar to HBG protein	Unknown	1	0	5	6	6	6	5	6
7467	>sp|P31943|HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4	HNRNPH1	0	0	3	3	3	5	3	5
3270	>sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	ENO1	0	0	6	4	5	4	5	3
19337	>sp|P55060|XPO2_HUMAN Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3	CSE1L	0	0	6	6	3	19	17	16
13380	>sp|P36873|PP1G_HUMAN Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens GN=PPP1CC PE=1 SV=1	PPP1CC	0	0	1	1	1	1	0	0
2045	>sp|Q07021|C1QBP_HUMAN Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1	C1QBP	0	0	6	8	4	11	9	8
7620	>sp|P61978|HNRPK_HUMAN Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1	HNRNPK	0	0	4	4	3	2	2	3
8518	>sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=2	MYL12A	0	0	5	6	6	0	28	23
11523	>sp|P60660|MYL6_HUMAN Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2	MYL6	0	0	7	9	8	1	1	1
70977	>P34955 SWISS-PROT:P34955 (Bos taurus) Alpha-1-antiproteinase precursor	Unknown	1	0	5	5	5	6	5	5
16505	>sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5	EPRS	0	0	6	6	5	27	24	28
15566	>sp|P62847|RS24_HUMAN 40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1	RPS24	0	0	11	8	8	12	11	9
8595	>sp|Q16891|MIC60_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens GN=IMMT PE=1 SV=1	IMMT	0	0	5	3	5	24	21	21
12998	>sp|Q99623|PHB2_HUMAN Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=2	PHB2	0	0	4	5	3	6	8	8
8115	>sp|Q14974|IMB1_HUMAN Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2	KPNB1	0	0	5	4	4	13	11	12
19288	>sp|Q9NNW5|WDR6_HUMAN WD repeat-containing protein 6 OS=Homo sapiens GN=WDR6 PE=1 SV=1	WDR6	0	0	6	6	4	5	7	7
179	>sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 PE=1 SV=1	ABCD3	0	0	4	4	4	10	8	11
15285	>sp|P46783|RS10_HUMAN 40S ribosomal protein S10 OS=Homo sapiens GN=RPS10 PE=1 SV=1	RPS10	0	0	11	12	9	12	10	10
15479	>sp|P61619|S61A1_HUMAN Protein transport protein Sec61 subunit alpha isoform 1 OS=Homo sapiens GN=SEC61A1 PE=1 SV=2	SEC61A1	0	0	7	6	6	7	5	6
11838	>sp|O75489|NDUS3_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1	NDUFS3	0	0	5	4	4	5	8	7
15288	>sp|P42677|RS27_HUMAN 40S ribosomal protein S27 OS=Homo sapiens GN=RPS27 PE=1 SV=3	RPS27	0	0	8	8	8	9	5	6
17309	>sp|Q13263|TIF1B_HUMAN Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5	TRIM28	0	0	5	6	7	0	0	1
18481	>sp|P53007|TXTP_HUMAN Tricarboxylate transport protein, mitochondrial OS=Homo sapiens GN=SLC25A1 PE=1 SV=2	SLC25A1	0	0	6	9	5	8	8	8
14935	>sp|P32969|RL9_HUMAN 60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1	RPL9	0	0	5	5	4	6	6	5
12801	>sp|Q9BY77|PDIP3_HUMAN Polymerase delta-interacting protein 3 OS=Homo sapiens GN=POLDIP3 PE=1 SV=2	POLDIP3	0	0	5	3	2	0	0	0
17345	>sp|Q9Y4R8|TELO2_HUMAN Telomere length regulation protein TEL2 homolog OS=Homo sapiens GN=TELO2 PE=1 SV=2	TELO2	0	0	4	4	4	12	8	11
5646	>sp|Q9NVH1|DJC11_HUMAN DnaJ homolog subfamily C member 11 OS=Homo sapiens GN=DNAJC11 PE=1 SV=2	DNAJC11	0	0	4	2	1	4	4	3
11266	>sp|Q9NZJ7|MTCH1_HUMAN Mitochondrial carrier homolog 1 OS=Homo sapiens GN=MTCH1 PE=1 SV=1	MTCH1	0	0	6	3	3	2	0	2
15273	>sp|P62851|RS25_HUMAN 40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1	RPS25	0	0	7	7	6	8	7	7
17642	>sp|P14373|TRI27_HUMAN Zinc finger protein RFP OS=Homo sapiens GN=TRIM27 PE=1 SV=1	TRIM27	0	0	5	6	6	0	0	0
10145	>sp|P07195|LDHB_HUMAN L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2	LDHB	0	0	5	2	3	4	2	3
1338	>sp|O75964|ATP5L_HUMAN ATP synthase subunit g, mitochondrial OS=Homo sapiens GN=ATP5L PE=1 SV=3	ATP5L	0	0	6	4	4	7	8	8
15538	>sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3	RPS9	0	0	6	10	9	9	11	12
15209	>sp|P78346|RPP30_HUMAN Ribonuclease P protein subunit p30 OS=Homo sapiens GN=RPP30 PE=1 SV=1	RPP30	0	0	3	4	1	1	0	1
11223	>sp|Q96T76|MMS19_HUMAN MMS19 nucleotide excision repair protein homolog OS=Homo sapiens GN=MMS19 PE=1 SV=2	MMS19	0	0	6	4	2	11	10	10
18566	>sp|Q15386|UBE3C_HUMAN Ubiquitin-protein ligase E3C OS=Homo sapiens GN=UBE3C PE=1 SV=3	UBE3C	0	0	7	3	4	4	6	3
8149	>sp|P05783|K1C18_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=1 SV=2	KRT18	0	0	3	2	2	1	0	1
11831	>sp|Q9H0A0|NAT10_HUMAN RNA cytidine acetyltransferase OS=Homo sapiens GN=NAT10 PE=1 SV=2	NAT10	0	0	5	2	1	7	6	4
5938	>sp|Q08554|DSC1_HUMAN Desmocollin-1 OS=Homo sapiens GN=DSC1 PE=1 SV=2	DSC1	0	0	6	5	6	4	6	6
9153	>sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4	PARP1	0	0	4	4	3	9	5	8
13799	>sp|O43242|PSMD3_HUMAN 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2	PSMD3	0	0	5	3	3	7	6	3
15018	>sp|P05388|RLA0_HUMAN 60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1	RPLP0	0	0	4	4	4	0	5	5
8921	>sp|P04181|OAT_HUMAN Ornithine aminotransferase, mitochondrial OS=Homo sapiens GN=OAT PE=1 SV=1	OAT	0	0	4	2	2	5	2	4
13963	>sp|P63244|RACK1_HUMAN Receptor of activated protein C kinase 1 OS=Homo sapiens GN=RACK1 PE=1 SV=3	RACK1	0	0	5	5	5	3	4	2
9823	>sp|O43896|KIF1C_HUMAN Kinesin-like protein KIF1C OS=Homo sapiens GN=KIF1C PE=1 SV=3	KIF1C	0	0	1	0	1	0	0	0
6810	>sp|P22087|FBRL_HUMAN rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2	FBL	0	0	3	3	3	8	9	8
11306	>sp|P43246|MSH2_HUMAN DNA mismatch repair protein Msh2 OS=Homo sapiens GN=MSH2 PE=1 SV=1	MSH2	0	0	4	5	3	5	7	5
14964	>sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5	RPL4	0	0	4	7	7	8	9	10
12607	>sp|Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1	PCBP2	0	0	4	2	4	5	6	3
14930	>sp|P46778|RL21_HUMAN 60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2	RPL21	0	0	5	7	6	8	7	6
11201	>sp|O60942|MCE1_HUMAN mRNA-capping enzyme OS=Homo sapiens GN=RNGTT PE=1 SV=1	RNGTT	0	0	4	6	4	1	2	2
12264	>sp|Q9NXE4|NSMA3_HUMAN Sphingomyelin phosphodiesterase 4 OS=Homo sapiens GN=SMPD4 PE=1 SV=2	SMPD4	0	0	4	1	2	5	4	5
8219	>sp|P51617|IRAK1_HUMAN Interleukin-1 receptor-associated kinase 1 OS=Homo sapiens GN=IRAK1 PE=1 SV=2	IRAK1	0	0	4	5	2	4	3	5
11208	>sp|Q9NU22|MDN1_HUMAN Midasin OS=Homo sapiens GN=MDN1 PE=1 SV=2	MDN1	0	0	4	5	5	21	24	18
10351	>sp|Q9BRT6|LLPH_HUMAN Protein LLP homolog OS=Homo sapiens GN=LLPH PE=1 SV=1	LLPH	0	0	6	6	7	8	7	7
7766	>sp|P04792|HSPB1_HUMAN Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2	HSPB1	0	0	4	5	4	3	5	6
14763	>sp|P40937|RFC5_HUMAN Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1	RFC5	0	0	3	3	2	5	4	6
17063	>sp|P50991|TCPD_HUMAN T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4	CCT4	0	0	4	4	5	7	6	7
17953	>sp|P57088|TMM33_HUMAN Transmembrane protein 33 OS=Homo sapiens GN=TMEM33 PE=1 SV=2	TMEM33	0	0	3	3	5	5	5	7
18750	>sp|Q96TA2|YMEL1_HUMAN ATP-dependent zinc metalloprotease YME1L1 OS=Homo sapiens GN=YME1L1 PE=1 SV=2	YME1L1	0	0	4	5	5	6	4	2
6735	>sp|Q9NVI1|FANCI_HUMAN Fanconi anemia group I protein OS=Homo sapiens GN=FANCI PE=1 SV=4	FANCI	0	0	5	3	4	11	13	10
14947	>sp|P83881|RL36A_HUMAN 60S ribosomal protein L36a OS=Homo sapiens GN=RPL36A PE=1 SV=2	RPL36A	0	0	5	6	1	5	4	4
17367	>sp|Q3ZCQ8|TIM50_HUMAN Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens GN=TIMM50 PE=1 SV=2	TIMM50	0	0	4	6	4	5	5	4
13364	>sp|P24666|PPAC_HUMAN Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3	ACP1	0	0	4	3	4	1	1	1
14785	>sp|P26373|RL13_HUMAN 60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4	RPL13	0	0	5	5	5	6	6	7
12436	>sp|Q8WUM0|NU133_HUMAN Nuclear pore complex protein Nup133 OS=Homo sapiens GN=NUP133 PE=1 SV=2	NUP133	0	0	5	3	1	4	6	6
932	>sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	ANXA2	0	0	6	4	6	4	4	4
4020	>sp|P38646|GRP75_HUMAN Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2	HSPA9	0	0	4	2	3	1	0	1
4932	>sp|Q9UBF2|COPG2_HUMAN Coatomer subunit gamma-2 OS=Homo sapiens GN=COPG2 PE=1 SV=1	COPG2	0	0	4	5	2	5	5	3
3558	>sp|Q92947|GCDH_HUMAN Glutaryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=GCDH PE=1 SV=1	GCDH	0	0	5	3	4	4	6	3
5757	>sp|Q08211|DHX9_HUMAN ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4	DHX9	0	0	4	3	3	2	4	1
15257	>sp|P39019|RS19_HUMAN 40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2	RPS19	0	0	4	5	4	5	5	5
7851	>sp|Q12905|ILF2_HUMAN Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2	ILF2	0	0	4	2	2	3	3	3
15258	>sp|P60866|RS20_HUMAN 40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1	RPS20	0	0	6	5	5	6	5	4
1792	>sp|O95816|BAG2_HUMAN BAG family molecular chaperone regulator 2 OS=Homo sapiens GN=BAG2 PE=1 SV=1	BAG2	0	0	5	2	5	3	4	4
8252	>sp|P52292|IMA1_HUMAN Importin subunit alpha-1 OS=Homo sapiens GN=KPNA2 PE=1 SV=1	KPNA2	0	0	4	5	4	5	6	5
15986	>sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2	SMC4	0	0	5	6	3	8	8	5
14927	>sp|Q07020|RL18_HUMAN 60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=2	RPL18	0	0	3	3	3	5	5	4
785	>sp|Q15052|ARHG6_HUMAN Rho guanine nucleotide exchange factor 6 OS=Homo sapiens GN=ARHGEF6 PE=1 SV=2	ARHGEF6	0	0	1	2	2	0	0	0
4349	>sp|P42695|CNDD3_HUMAN Condensin-2 complex subunit D3 OS=Homo sapiens GN=NCAPD3 PE=1 SV=2	NCAPD3	0	0	4	5	4	6	7	5
9884	>sp|Q13557|KCC2D_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens GN=CAMK2D PE=1 SV=3	CAMK2D	0	0	3	4	3	3	0	2
16611	>sp|P51571|SSRD_HUMAN Translocon-associated protein subunit delta OS=Homo sapiens GN=SSR4 PE=1 SV=1	SSR4	0	0	3	4	3	3	3	3
71146	>ENSEMBL:ENSBTAP00000024146 (Bos taurus) similar to alpha-2-macroglobulin isoform 1	Unknown	1	0	3	4	4	6	4	4
15017	>sp|P46779|RL28_HUMAN 60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=1 SV=3	RPL28	0	0	4	5	5	3	2	3
8950	>sp|P39656|OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4	DDOST	0	0	4	8	3	9	11	11
2006	>sp|P16278|BGAL_HUMAN Beta-galactosidase OS=Homo sapiens GN=GLB1 PE=1 SV=2	GLB1	0	0	4	3	1	0	0	0
10965	>sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3	LRPPRC	0	0	3	1	3	10	10	10
13645	>sp|O00743|PPP6_HUMAN Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens GN=PPP6C PE=1 SV=1	PPP6C	0	0	3	4	3	0	2	2
11777	>sp|Q16795|NDUA9_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Homo sapiens GN=NDUFA9 PE=1 SV=2	NDUFA9	0	0	5	1	3	4	7	8
14921	>sp|P46776|RL27A_HUMAN 60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=2	RPL27A	0	0	4	5	6	9	9	7
71008	>P01966 SWISS-PROT:P01966 (Bos taurus) Hemoglobin subunit alpha	Unknown	1	0	4	5	5	6	5	4
16947	>sp|P40227|TCPZ_HUMAN T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3	CCT6A	0	0	4	7	3	11	10	10
9988	>sp|Q14533|KRT81_HUMAN Keratin, type II cuticular Hb1 OS=Homo sapiens GN=KRT81 PE=1 SV=3	KRT81	1	0	3	2	3	0	0	0
3891	>sp|P20671|H2A1D_HUMAN Histone H2A type 1-D OS=Homo sapiens GN=HIST1H2AD PE=1 SV=2	HIST1H2AD	0	0	4	5	4	7	7	7
15283	>sp|P61247|RS3A_HUMAN 40S ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=1 SV=2	RPS3A	0	0	4	4	5	7	6	10
387	>sp|Q9NRG9|AAAS_HUMAN Aladin OS=Homo sapiens GN=AAAS PE=1 SV=1	AAAS	0	0	4	3	1	3	3	3
18281	>sp|Q15029|U5S1_HUMAN 116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2 PE=1 SV=1	EFTUD2	0	0	3	4	4	4	5	4
3284	>sp|P26641|EF1G_HUMAN Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3	EEF1G	0	0	3	4	4	6	3	2
19341	>sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2	XRCC6	0	0	3	2	2	7	7	6
14919	>sp|P83731|RL24_HUMAN 60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1	RPL24	0	0	3	4	3	4	2	2
17224	>sp|O14925|TIM23_HUMAN Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens GN=TIMM23 PE=1 SV=1	TIMM23	0	0	3	3	3	3	3	3
15205	>sp|P30876|RPB2_HUMAN DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens GN=POLR2B PE=1 SV=1	POLR2B	0	0	4	2	2	3	3	3
12708	>sp|P08237|PFKAM_HUMAN ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens GN=PFKM PE=1 SV=2	PFKM	0	0	2	2	4	1	1	0
5903	>sp|Q5VYK3|ECM29_HUMAN Proteasome-associated protein ECM29 homolog OS=Homo sapiens GN=ECM29 PE=1 SV=2	ECM29	0	0	3	2	2	11	12	11
4085	>sp|O00165|HAX1_HUMAN HCLS1-associated protein X-1 OS=Homo sapiens GN=HAX1 PE=1 SV=2	HAX1	0	0	4	4	2	9	7	8
13788	>sp|P22102|PUR2_HUMAN Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens GN=GART PE=1 SV=1	GART	0	0	3	1	2	6	7	7
5627	>sp|P81605|DCD_HUMAN Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2	DCD	0	0	4	4	4	3	3	3
16699	>sp|Q9H853|TBA4B_HUMAN Putative tubulin-like protein alpha-4B OS=Homo sapiens GN=TUBA4B PE=5 SV=2	TUBA4B	0	0	3	4	4	4	4	4
10210	>sp|P47929|LEG7_HUMAN Galectin-7 OS=Homo sapiens GN=LGALS7 PE=1 SV=2	LGALS7	0	0	2	3	2	3	3	3
15286	>sp|P25398|RS12_HUMAN 40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3	RPS12	0	0	4	3	3	3	2	2
15575	>sp|P62753|RS6_HUMAN 40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=1 SV=1	RPS6	0	0	4	5	4	6	6	5
14946	>sp|P42766|RL35_HUMAN 60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2	RPL35	0	0	5	4	6	8	6	7
15721	>sp|Q6NUK1|SCMC1_HUMAN Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Homo sapiens GN=SLC25A24 PE=1 SV=2	SLC25A24	0	0	3	3	3	6	6	5
12181	>sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens GN=NDUFS8 PE=1 SV=1	NDUFS8	0	0	3	3	2	2	3	2
17098	>sp|Q9NZ01|TECR_HUMAN Very-long-chain enoyl-CoA reductase OS=Homo sapiens GN=TECR PE=1 SV=1	TECR	0	0	4	2	4	6	4	4
14807	>sp|P61313|RL15_HUMAN 60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2	RPL15	0	0	4	7	5	8	7	7
16978	>sp|A6NHL2|TBAL3_HUMAN Tubulin alpha chain-like 3 OS=Homo sapiens GN=TUBAL3 PE=1 SV=2	TUBAL3	0	0	1	1	1	1	1	1
16830	>sp|P56192|SYMC_HUMAN Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2	MARS	0	0	3	2	2	4	4	7
14914	>sp|P61254|RL26_HUMAN 60S ribosomal protein L26 OS=Homo sapiens GN=RPL26 PE=1 SV=1	RPL26	0	0	3	4	3	7	7	7
19585	>sp|O00488|ZN593_HUMAN Zinc finger protein 593 OS=Homo sapiens GN=ZNF593 PE=1 SV=2	ZNF593	0	0	3	2	2	7	4	6
15497	>sp|P14678|RSMB_HUMAN Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=1 SV=2	SNRPB	0	0	3	3	2	2	2	1
5681	>sp|Q53GQ0|DHB12_HUMAN Very-long-chain 3-oxoacyl-CoA reductase OS=Homo sapiens GN=HSD17B12 PE=1 SV=2	HSD17B12	0	0	3	5	2	9	9	10
13522	>sp|P62195|PRS8_HUMAN 26S protease regulatory subunit 8 OS=Homo sapiens GN=PSMC5 PE=1 SV=1	PSMC5	0	0	3	4	3	2	2	3
15275	>sp|P62854|RS26_HUMAN 40S ribosomal protein S26 OS=Homo sapiens GN=RPS26 PE=1 SV=3	RPS26	0	0	4	4	4	6	7	5
784	>sp|Q92974|ARHG2_HUMAN Rho guanine nucleotide exchange factor 2 OS=Homo sapiens GN=ARHGEF2 PE=1 SV=4	ARHGEF2	0	0	4	0	2	0	0	0
4206	>sp|O43824|GTPB6_HUMAN Putative GTP-binding protein 6 OS=Homo sapiens GN=GTPBP6 PE=2 SV=3	GTPBP6	0	0	3	1	2	0	0	0
13521	>sp|P35998|PRS7_HUMAN 26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3	PSMC2	0	0	3	4	3	6	6	5
10706	>sp|Q9BQG0|MBB1A_HUMAN Myb-binding protein 1A OS=Homo sapiens GN=MYBBP1A PE=1 SV=2	MYBBP1A	0	0	4	0	3	18	20	18
15251	>sp|P62979|RS27A_HUMAN Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2	RPS27A	0	0	3	4	3	3	3	3
12132	>sp|Q9P0J0|NDUAD_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Homo sapiens GN=NDUFA13 PE=1 SV=3	NDUFA13	0	0	5	6	4	6	6	7
3575	>sp|P51570|GALK1_HUMAN Galactokinase OS=Homo sapiens GN=GALK1 PE=1 SV=1	GALK1	0	0	3	2	1	0	0	0
17558	>sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens GN=TPP1 PE=1 SV=2	TPP1	0	0	2	2	2	3	2	3
13740	>sp|Q8WUK0|PTPM1_HUMAN Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 OS=Homo sapiens GN=PTPMT1 PE=1 SV=1	PTPMT1	0	0	3	2	2	3	2	3
17064	>sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1	CCT5	0	0	2	4	3	2	7	3
12746	>sp|Q15645|PCH2_HUMAN Pachytene checkpoint protein 2 homolog OS=Homo sapiens GN=TRIP13 PE=1 SV=2	TRIP13	0	0	2	2	2	3	3	3
3958	>sp|Q9BVP2|GNL3_HUMAN Guanine nucleotide-binding protein-like 3 OS=Homo sapiens GN=GNL3 PE=1 SV=2	GNL3	0	0	3	2	4	5	4	8
2855	>sp|P07858|CATB_HUMAN Cathepsin B OS=Homo sapiens GN=CTSB PE=1 SV=3	CTSB	0	0	2	2	1	0	0	0
9219	>sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens GN=PYCR2 PE=1 SV=1	PYCR2	0	0	3	1	1	0	0	0
17405	>sp|Q9UM00|TMCO1_HUMAN Calcium load-activated calcium channel OS=Homo sapiens GN=TMCO1 PE=1 SV=1	TMCO1	0	0	2	2	3	2	0	3
